Date,Region,Season,Weather_Condition,Area,Area size (km^2),Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Time Frame,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
13/1-/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/035e,PETER,SIMON,11:20AM,53194,3703570,55238,3702886,11:44AM,,4,11:26PM,1254,3703620,53717,OS,23,83,0,83,22.27,22.27,4,,,,,3,H,Partially protected
14/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/010f,SIMON,TEDDY,10:12AM,57815,3710745,58196,3712865,10:55AM,,4,10:39AM,1277,3708423,58236,OST,178,37,98,61,-171.97,171.97,2,1,1,,,3,H,Partially protected
16/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/011f,SIMON,TEDDY,11:09AM,59232,3709191,59382,3711341,11:39AM,,4,11: 15AM,949,3732880,36762,OST,19,51,75,24,-17.21,17.21,1,1,,,,4,H,Partially protected
14/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/012f,PETER,SIMON,1:11PM,100942,3709036,100805,3711189,1:51PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
14/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/014f,SIMON,PETER,10:22AM,59941,3708671,59748,3706523,11:21AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
16/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/015f,PETER,SIMON,10:11AM,58415,3709939,58119,3707805,11:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
16/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/016f,PETER,SIMON,8:56AM,56963,3711409,56885,3709254,9:35AM,,4,11:55AM,1249,3710419,59299,OST,180,244,274,30,-177.85,177.85,4,1,3,,,3,H,Partially protected
16/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/017f,PETER,SIMON,8:55AM,102799,3713561,100964,3714696,9:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
16/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/019f,SIMON,PETER,10:36AM,100725,3713172,58919,3714348,11:25AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
20/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/020f,SIMON,PETER,12:46PM,58812,3713381,57116,3714717,1:11PM,,4,,,,,,,,,,,,,,,,e,,,Partially protected
20/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/021f,SIMON,TEDDY,11:50AM,59898,3713120,59642,3710979,12:36PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
20/3/2015,MEIBEI,Feb-Dry,Dry,NK,,NK/022f,PETER,SIMON,12:09PM,101881,3713182,101384,3711085,12:51PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/023f,PETER,SIMON,11:28AM,54092,3706365,51930,3706429,12:23pm,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/024f,PETER,SIMON,9:16AM,53332,3704216,51182,3704082,10:01AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/025f,SIMON,PETER,10:17AM,52269,3704297,52635,3702173,11:11AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/026f,SIMON,PETER,9:33AM,50403,3704908,50449,3707065,10:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/027f,SIMON,PETER,1:44PM,49449,3705973,49473,3708130,2:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/028f,PETER,SIMON,10:21AM,48555,3707683,48993,3709793,10:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/029f,SIMON,PETER,11:20AM,46936,3708665,47697,3710678,11:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,,BAR/030f,PETER,SIMON,12:40PM,47533,3708182,47965,3706071,2:03PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
